,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
352,B. Mendy,23,France,81,86,Manchester City,€20M,€105K,LB
353,C. Kramer,27,Germany,81,82,Borussia Mönchengladbach,€17M,€35K,CDM
354,S. Vrsaljko,26,Croatia,81,84,Inter,€18M,€57K,RB
355,T. Hazard,25,Belgium,81,83,Borussia Mönchengladbach,€21.5M,€40K,RW
356,K. Bellarabi,28,Germany,81,81,Bayer 04 Leverkusen,€18M,€76K,RM
357,S. Zaza,27,Italy,81,82,Torino,€21M,€48K,RS
358,F. Ghoulam,27,Algeria,81,82,Napoli,€16.5M,€68K,LB
359,B. Lecomte,27,France,81,84,Montpellier HSC,€15M,€27K,GK
360,J. Ili?i?,30,Slovenia,81,81,Atalanta,€17M,€41K,CAM
361,K. Volland,25,Germany,81,83,Bayer 04 Leverkusen,€22M,€76K,ST
362,Paco Alcácer,24,Spain,81,85,Borussia Dortmund,€23.5M,€59K,ST
363,Vitolo,28,Spain,81,81,Atlético Madrid,€18M,€65K,LM
364,G. Xhaka,25,Switzerland,81,84,Arsenal,€22M,€115K,LDM
365,D. Tadi?,29,Serbia,81,81,Ajax,€17.5M,€26K,LAM
366,C. Aránguiz,29,Chile,81,81,Bayer 04 Leverkusen,€17M,€76K,LDM
367,S. Verdi,25,Italy,81,81,Napoli,€19.5M,€77K,RW
368,D. Lovren,28,Croatia,81,82,Liverpool,€16M,€115K,RCB
369,G. Medel,30,Chile,81,81,Be?ikta? JK,€13M,€56K,RCB
370,X. Shaqiri,26,Switzerland,81,81,Liverpool,€19M,€130K,CAM
371,J. Corona,25,Mexico,81,83,FC Porto,€21.5M,€18K,RM
372,A. Areola,25,France,81,85,Paris Saint-Germain,€16.5M,€61K,GK
373,K. Vogt,26,Germany,81,82,TSG 1899 Hoffenheim,€17.5M,€42K,CB
374,Ander Herrera,28,Spain,81,81,Manchester United,€17.5M,€140K,CM
375,E. Salvio,27,Argentina,81,81,SL Benfica,€18.5M,€19K,RW
376,S. El Shaarawy,25,Italy,81,82,Roma,€21M,€77K,LM
377,C. Smalling,28,England,81,82,Manchester United,€16M,€130K,RCB
378,Hulk,31,Brazil,81,81,Shanghai SIPG FC,€15.5M,€25K,RCM
379,S. Kagawa,29,Japan,81,81,Borussia Dortmund,€17.5M,€65K,CAM
380,M. Lanzini,25,Argentina,81,85,West Ham United,€23M,€90K,CAM
381,F. Smolov,28,Russia,81,81,Lokomotiv Moscow,€18.5M,€1K,ST
382,L. Stindl,29,Germany,81,81,Borussia Mönchengladbach,€18M,€43K,CF
383,O. Toprak,28,Turkey,81,82,Borussia Dortmund,€16M,€59K,CB
384,D. Perotti,29,Argentina,81,81,Roma,€17.5M,€84K,LW
385,F. Muslera,32,Uruguay,81,81,Galatasaray SK,€10M,€52K,GK
386,B. Höwedes,30,Germany,81,81,Lokomotiv Moscow,€13M,€1K,RCB
387,S. Kjær,29,Denmark,81,81,Sevilla FC,€14M,€23K,RCB
388,S. Bender,29,Germany,81,81,Bayer 04 Leverkusen,€14M,€69K,LCB
389,M. Valbuena,33,France,81,81,Fenerbahçe SK,€11M,€86K,LM
390,Pedro León,31,Spain,81,81,SD Eibar,€15.5M,€32K,RM
391,K. Boateng,31,Ghana,81,81,Sassuolo,€15M,€65K,CM
392,L. Piszczek,33,Poland,81,81,Borussia Dortmund,€7M,€57K,RB
393,A. Candreva,31,Italy,81,81,Inter,€15.5M,€74K,RM
394,D. Wass,29,Denmark,81,81,Valencia CF,€17M,€46K,RB
395,E. Lamela,26,Argentina,81,82,Tottenham Hotspur,€21M,€105K,RM
396,D. Rose,27,England,81,81,Tottenham Hotspur,€14.5M,€92K,LB
397,C. Vela,29,Mexico,81,81,Los Angeles FC,€17.5M,€15K,RW
398,Renato Augusto,30,Brazil,81,81,Beijing Sinobo Guoan FC,€16.5M,€28K,LCM
399,A. Valencia,32,Ecuador,81,81,Manchester United,€10M,€120K,RM
400,L. Fabia?ski,33,Poland,81,81,West Ham United,€9M,€70K,GK
401,João Moutinho,31,Portugal,81,81,Wolverhampton Wanderers,€15M,€85K,RCM
402,Borja Valero,33,Spain,81,81,Inter,€11M,€74K,CAM
403,F. Quagliarella,35,Italy,81,81,Sampdoria,€8M,€39K,RS
404,B. Gomis,32,France,81,81,Al Hilal,€14M,€56K,ST
405,Manuel Fernandes,32,Portugal,81,81,Lokomotiv Moscow,€14M,€1K,LM
406,H. Herrera,28,Mexico,81,81,FC Porto,€17.5M,€20K,CM
407,Raffael,33,Brazil,81,81,Borussia Mönchengladbach,€11M,€41K,CF
408,Nani,31,Portugal,81,81,Sporting CP,€15.5M,€19K,LM
409,J. Milner,32,England,81,81,Liverpool,€13.5M,€120K,CM
410,J. Mathieu,34,France,81,81,Sporting CP,€5.5M,€18K,LCB
411,Joaquín,36,Spain,81,81,Real Betis,€6M,€24K,LS
412,M. Gómez,21,Uruguay,80,85,RC Celta,€20.5M,€25K,ST
413,K. Havertz,19,Germany,80,89,Bayer 04 Leverkusen,€22M,€32K,CAM
414,T. Ndombele,21,France,80,89,Olympique Lyonnais,€22.5M,€51K,CM
415,H. Aouar,20,France,80,90,Olympique Lyonnais,€23.5M,€51K,LM
416,Carlos Soler,21,Spain,80,87,Valencia CF,€21M,€31K,RM
417,Odriozola,22,Spain,80,88,Real Madrid,€18.5M,€115K,RB
418,M. Almirón,24,Paraguay,80,84,Atlanta United,€19.5M,€11K,CAM
419,Welington Dano,30,Brazil,80,80,Cruzeiro,€10.5M,€34K,LB
420,Everton Andrão,34,Brazil,80,80,Fluminense,€4.5M,€34K,CDM
421,Oyarzabal,21,Spain,80,87,Real Sociedad,€21M,€29K,CAM
422,F. Balbuena,26,Paraguay,80,83,West Ham United,€15.5M,€80K,RCB
423,M. Marega,27,Mali,80,80,FC Porto,€16M,€19K,RS
424,B. Pavard,22,France,80,86,VfB Stuttgart,€17.5M,€33K,RB
425,W. Ndidi,21,Nigeria,80,85,Leicester City,€17M,€50K,LDM
426,A. Onana,22,Cameroon,80,85,Ajax,€14.5M,€14K,GK
427,G. Lo Celso,22,Argentina,80,86,Real Betis,€20M,€72K,RCM
428,M. Acuña,26,Argentina,80,80,Sporting CP,€12.5M,€16K,LB
429,Rúben Neves,21,Portugal,80,87,Wolverhampton Wanderers,€20.5M,€59K,LCM
430,Mariano,24,Dominican Republic,80,85,Real Madrid,€20M,€140K,ST
431,Raúl,28,Brazil,80,80,SC Braga,€12M,€19K,CB
432,M. Caldara,24,Italy,80,86,Milan,€17.5M,€73K,CB
433,M. Vecino,26,Uruguay,80,81,Inter,€14.5M,€63K,LM
434,T. Bakayoko,23,France,80,85,Milan,€17M,€85K,LCM
435,M. Dahoud,22,Germany,80,86,Borussia Dortmund,€20M,€50K,CM
436,Rafa,25,Portugal,80,83,SL Benfica,€18.5M,€17K,RW
437,K. Baldé,23,Senegal,80,85,Inter,€20M,€65K,RM
438,G. Rulli,26,Argentina,80,85,Real Sociedad,€14M,€26K,GK
439,F. Armani,31,Argentina,80,80,River Plate,€9M,€22K,GK
440,Rony Lopes,22,Portugal,80,85,AS Monaco,€20M,€65K,RM
441,Santi Mina,22,Spain,80,85,Valencia CF,€20M,€40K,LS
442,K. Demirbay,24,Germany,80,84,TSG 1899 Hoffenheim,€19.5M,€37K,RCM
443,Gayà,23,Spain,80,85,Valencia CF,€16.5M,€33K,LB
444,André Gomes,24,Portugal,80,85,Everton,€19.5M,€130K,LDM
445,N. Tagliafico,25,Argentina,80,82,Ajax,€15M,€20K,LB
446,M. Sanson,23,France,80,85,Olympique de Marseille,€19.5M,€47K,RDM
447,Pacheco,26,Spain,80,83,Deportivo Alavés,€13M,€23K,GK
448,E. Can,24,Germany,80,85,Juventus,€19.5M,€91K,CM
449,H. Çalhano?lu,24,Turkey,80,84,Milan,€19.5M,€89K,CAM
450,M. Ginter,24,Germany,80,82,Borussia Mönchengladbach,€15.5M,€28K,RWB
451,M. Keane,25,England,80,83,Everton,€15.5M,€88K,RCB
452,L. Paredes,24,Argentina,80,85,,€ 0,€ 0,CM
453,T. Stepanenko,28,Ukraine,80,80,Shakhtar Donetsk,€12M,€1K,RDM
454,L. Shaw,22,England,80,85,Manchester United,€16.5M,€96K,LB
455,Z. Feddal,28,Morocco,80,80,Real Betis,€12M,€29K,CB
456,S. Haller,24,France,80,83,Eintracht Frankfurt,€19M,€41K,RS
457,Bernard,25,Brazil,80,81,Everton,€17.5M,€97K,LM
458,T. Inui,30,Japan,80,80,Real Betis,€14M,€30K,LM
459,Portu,26,Spain,80,81,Girona FC,€17.5M,€37K,RM
460,M. Batshuayi,24,Belgium,80,84,Valencia CF,€19.5M,€105K,ST
461,E. Zahavi,30,Israel,80,80,Guangzhou R&F; FC,€14.5M,€24K,LS
462,T. Vaclík,29,Czech Republic,80,81,Sevilla FC,€11.5M,€17K,GK
463,N. Pope,26,England,80,83,Burnley,€13M,€48K,GK
464,Héctor Bellerín,23,Spain,80,85,Arsenal,€16.5M,€85K,RB
465,P. Kade?ábek,26,Czech Republic,80,81,TSG 1899 Hoffenheim,€14M,€39K,RWB
466,J. Butland,25,England,80,85,Stoke City,€14M,€39K,GK
467,J. Vestergaard,25,Denmark,80,81,Southampton,€14.5M,€51K,CB
468,J. Tarkowski,25,England,80,83,Burnley,€15.5M,€56K,RCB
469,Deulofeu,24,Spain,80,82,Watford,€18.5M,€56K,RS
470,E. Dier,24,England,80,84,Tottenham Hotspur,€16.5M,€73K,CDM
471,J. Murillo,26,Colombia,80,84,Valencia CF,€16M,€38K,LCB
472,M. Badelj,29,Croatia,80,80,Lazio,€11.5M,€53K,CDM
473,Ismaily,28,Brazil,80,80,Shakhtar Donetsk,€11.5M,€1K,LB
474,N. Schulz,25,Germany,80,81,TSG 1899 Hoffenheim,€14.5M,€37K,LWB
475,L. Digne,24,France,80,84,Everton,€16M,€79K,LB
476,M. Uth,26,Germany,80,81,FC Schalke 04,€17.5M,€42K,ST
477,Cristian Tello,26,Spain,80,80,Real Betis,€16M,€30K,LM
478,D. Vida,29,Croatia,80,80,Be?ikta? JK,€11.5M,€55K,LCB
479,L. Muriel,27,Colombia,80,81,Sevilla FC,€17.5M,€24K,ST
480,V. Aboubakar,26,Cameroon,80,82,FC Porto,€18M,€19K,ST
481,A. Oxlade-Chamberlain,24,England,80,85,Liverpool,€19.5M,€94K,CM
482,S. Aurier,25,Ivory Coast,80,83,Tottenham Hotspur,€15.5M,€82K,RB
483,J. Matip,26,Cameroon,80,82,Liverpool,€15M,€99K,CB
484,Y. Rakitskyi,28,Ukraine,80,80,Shakhtar Donetsk,€12M,€1K,LCB
485,Sergi Enrich,28,Spain,80,80,SD Eibar,€15.5M,€34K,RS
486,A. Yarmolenko,28,Ukraine,80,80,West Ham United,€15M,€92K,RM
487,Hugo Mallo,27,Spain,80,81,RC Celta,€13.5M,€27K,RB
488,André Almeida,27,Portugal,80,80,SL Benfica,€12M,€15K,RB
489,D. Didavi,28,Germany,80,80,VfB Stuttgart,€15M,€44K,CAM
490,R. Rodríguez,25,Switzerland,80,83,Milan,€15.5M,€81K,LB
491,R. Pereyra,27,Argentina,80,80,Watford,€15.5M,€65K,LM
492,Mario Gaspar,27,Spain,80,80,Villarreal CF,€12M,€35K,RB
493,Maicon,29,Brazil,80,80,Galatasaray SK,€11.5M,€63K,CB
494,D. Blind,28,Netherlands,80,80,Ajax,€12M,€22K,LB
495,J. Zoet,27,Netherlands,80,83,PSV,€12.5M,€16K,GK
496,A. Ljaji?,26,Serbia,80,81,Be?ikta? JK,€17.5M,€52K,CAM
497,Canales,27,Spain,80,80,Real Betis,€15.5M,€30K,RCM
498,Iago Falqué,28,Spain,80,80,Torino,€15M,€59K,RW
499,L. de Jong,27,Netherlands,80,80,PSV,€16M,€23K,ST
500,Guaita,31,Spain,80,80,Crystal Palace,€9M,€48K,GK
501,Muniain,25,Spain,80,83,Athletic Club de Bilbao,€18.5M,€31K,CAM
502,Susaeta,30,Spain,80,80,Athletic Club de Bilbao,€14M,€33K,RW
503,S. Rudy,28,Germany,80,80,FC Schalke 04,€12M,€37K,CDM
504,K. Trapp,27,Germany,80,81,Eintracht Frankfurt,€11.5M,€61K,GK
505,V. Wanyama,27,Kenya,80,82,Tottenham Hotspur,€14.5M,€86K,CDM
506,N. Nkoulou,28,Cameroon,80,80,Torino,€12M,€50K,CB
507,R. Boudebouz,28,Algeria,80,80,Real Betis,€15M,€31K,CAM
508,Camacho,28,Spain,80,81,VfL Wolfsburg,€13.5M,€51K,CDM
509,S. Ulreich,29,Germany,80,80,FC Bayern München,€10M,€61K,GK
510,M. Musacchio,27,Argentina,80,80,Milan,€12.5M,€85K,RCB
511,C. Stuani,31,Uruguay,80,80,Girona FC,€13.5M,€41K,ST
512,P. Gulácsi,28,Hungary,80,80,RB Leipzig,€10.5M,€45K,GK
513,Bruno,34,Spain,80,80,Villarreal CF,€7M,€39K,CM
514,F. Delph,28,England,80,80,Manchester City,€11.5M,€120K,LB
515,A. Lallana,30,England,80,80,Liverpool,€13.5M,€110K,CM
516,Marcelo,31,Brazil,80,80,Olympique Lyonnais,€10M,€64K,RCB
517,S. Coleman,29,Republic of Ireland,80,80,Everton,€11M,€97K,RWB
518,Alexandre Pato,28,Brazil,80,80,Tianjin Quanjian FC,€15.5M,€35K,ST
519,Antunes,31,Portugal,80,80,Getafe CF,€9.5M,€27K,LB
520,Nacho Monreal,32,Spain,80,80,Arsenal,€8M,€99K,LB
521,Beñat,31,Spain,80,80,Athletic Club de Bilbao,€12.5M,€30K,LCM
522,A. Fernández,32,Argentina,80,80,Beijing Renhe FC,€11M,€20K,LDM
523,K. Gameiro,31,France,80,80,Valencia CF,€13.5M,€45K,ST
524,I. Piatti,33,Argentina,80,80,Montreal Impact,€9M,€13K,LW
525,V. Birsa,31,Slovenia,80,80,Chievo Verona,€13M,€23K,CAM
526,S. Romero,31,Argentina,80,80,Manchester United,€9M,€91K,GK
527,D. Criscito,31,Italy,80,80,Genoa,€10M,€21K,LCB
528,D. Valeri,32,Argentina,80,80,Portland Timbers,€11.5M,€12K,RF
529,D. Sturridge,28,England,80,80,Liverpool,€15.5M,€125K,ST
530,Raúl García,31,Spain,80,80,Athletic Club de Bilbao,€13M,€30K,CAM
531,S. Defour,30,Belgium,80,80,Burnley,€13.5M,€65K,LCM
532,M. Škrtel,33,Slovakia,80,80,Fenerbahçe SK,€6M,€68K,LCB
533,S. Radu,31,Romania,80,80,Lazio,€10M,€51K,LCB
534,G. Cahill,32,England,80,80,Chelsea,€8.5M,€99K,CB
535,L. Diarra,33,France,80,80,Paris Saint-Germain,€6M,€75K,CDM
536,L. Perrin,32,France,80,80,AS Saint-Étienne,€8.5M,€37K,RCB
537,Dante,34,Brazil,80,80,OGC Nice,€4.5M,€37K,CB
538,A. Granqvist,33,Sweden,80,80,,€ 0,€ 0,LCB
539,A. Gignac,32,France,80,80,Tigres U.A.N.L.,€12M,€70K,ST
540,M. Gómez,32,Germany,80,80,VfB Stuttgart,€12M,€46K,LS
541,I. Akinfeev,32,Russia,80,80,PFC CSKA Moscow,€8.5M,€1K,GK
542,I. Denisov,34,Russia,80,80,Lokomotiv Moscow,€4.5M,€1K,RDM
543,Juanfran,33,Spain,80,80,Atlético Madrid,€5.5M,€53K,RB
544,Diego López,36,Spain,80,80,RCD Espanyol,€2M,€17K,GK
545,Santi Cazorla,33,Spain,80,80,Villarreal CF,€8.5M,€39K,LCM
546,Jesús Navas,32,Spain,80,80,Sevilla FC,€11.5M,€22K,RM
547,J. Mascherano,34,Argentina,80,80,Hebei China Fortune FC,€4.5M,€20K,LDM
548,A. Mirante,34,Italy,80,80,Roma,€6M,€51K,GK
549,D. Srna,36,Croatia,80,80,Cagliari,€1.7M,€27K,RB
550,B. Schweinsteiger,33,Germany,80,80,Chicago Fire,€6M,€11K,LCB
551,Moyá,34,Spain,80,80,Real Sociedad,€6M,€26K,GK
552,W. Rooney,32,England,80,80,DC United,€12M,€13K,ST
553,Fernando Torres,34,Spain,80,80,Sagan Tosu,€8M,€10K,LS
554,S. Sorrentino,39,Italy,80,80,Chievo Verona,€1M,€10K,GK
555,V. Tsygankov,20,Ukraine,79,86,Dynamo Kyiv,€18M,€1K,RM
556,Rúben Dias,21,Portugal,79,85,SL Benfica,€15M,€10K,RCB
557,David Neres,21,Brazil,79,86,Ajax,€18M,€18K,RW
558,Raphinha,21,Brazil,79,86,Sporting CP,€18M,€13K,RM
559,A. Harit,21,Morocco,79,86,FC Schalke 04,€18M,€27K,LCM
560,Richarlison,21,Brazil,79,86,Everton,€18M,€79K,ST
561,L. Martínez,20,Argentina,79,86,Inter,€18M,€54K,ST
562,F. Kessié,21,Ivory Coast,79,88,Milan,€19.5M,€24K,CM
563,Luimo Boas Santos,30,Brazil,79,79,Santos,€12M,€26K,ST
564,Gabri Prestão,26,Brazil,79,79,Internacional,€9M,€24K,GK
565,Melvin Parrela,30,Brazil,79,79,América FC (Minas Gerais),€9.5M,€20K,LCM
566,Antônio Chiamuloira,30,Brazil,79,79,Internacional,€9.5M,€30K,CB
567,Maikel Catarino,34,Brazil,79,79,Atlético Mineiro,€3.6M,€38K,RB
568,A. Lunev,26,Russia,79,81,,€ 0,€ 0,GK
569,André Silva,22,Portugal,79,87,Sevilla FC,€19M,€84K,ST
570,C. Pulisic,19,United States,79,87,Borussia Dortmund,€18M,€26K,RM
571,M. Dmitrovi?,26,Serbia,79,80,SD Eibar,€10M,€21K,GK
572,L. Tousart,21,France,79,84,Olympique Lyonnais,€14.5M,€43K,RDM
573,Marcos Llorente,23,Spain,79,87,Real Madrid,€16M,€110K,CDM
574,B. Verbi?,24,Slovenia,79,81,Dynamo Kyiv,€15.5M,€1K,LM
575,S. Bergwijn,20,Netherlands,79,86,PSV,€18M,€17K,LW
576,A. Diallo,22,France,79,86,Borussia Dortmund,€15M,€43K,LCB
577,A. Golovin,22,Russia,79,85,AS Monaco,€17M,€61K,CAM
578,M. Campaña,29,Uruguay,79,80,Independiente,€10M,€21K,GK
579,C. Pavón,22,Argentina,79,85,Boca Juniors,€17.5M,€27K,RW
580,K. Toko-Ekambi,25,Cameroon,79,80,Villarreal CF,€15M,€38K,LS
581,Granell,29,Spain,79,79,Girona FC,€12M,€37K,LWB
582,F. Cervi,24,Argentina,79,84,SL Benfica,€17M,€15K,LW
583,J. Weigl,22,Germany,79,84,Borussia Dortmund,€14.5M,€43K,CDM
584,V. Lindelöf,23,Sweden,79,85,Manchester United,€14.5M,€91K,CB
585,A. Rebi?,24,Croatia,79,82,Eintracht Frankfurt,€16M,€39K,CAM
586,A. Sanabria,22,Paraguay,79,85,Real Betis,€17.5M,€27K,ST
587,R. Battaglia,26,Argentina,79,80,Sporting CP,€14.5M,€17K,CM
588,M. Philipp,24,Germany,79,84,Borussia Dortmund,€17M,€53K,ST
589,A. Saint-Maximin,21,France,79,86,OGC Nice,€18M,€31K,RS
590,D. Zappacosta,26,Italy,79,81,Chelsea,€12.5M,€94K,RB
591,L. Alario,25,Argentina,79,82,Bayer 04 Leverkusen,€16M,€67K,ST
592,D. Benedetto,28,Argentina,79,79,Boca Juniors,€13M,€32K,ST
593,I. Marcone,28,Argentina,79,80,Cruz Azul,€11.5M,€31K,RDM
594,J. Gbamin,22,Ivory Coast,79,84,1. FSV Mainz 05,€14.5M,€26K,RCM
595,J. Lerma,23,Colombia,79,84,Bournemouth,€14.5M,€55K,RCM
596,Ricardo Horta,23,Portugal,79,84,SC Braga,€17M,€16K,LM
597,R. Zobnin,24,Russia,79,86,Spartak Moscow,€15M,€1K,LDM
598,M. Meyer,22,Germany,79,83,Crystal Palace,€16M,€53K,LM
599,Bruma,23,Portugal,79,83,RB Leipzig,€16.5M,€48K,LW
600,R. Centurión,25,Argentina,79,81,Racing Club,€15.5M,€25K,RM
601,Jonny,24,Spain,79,83,Wolverhampton Wanderers,€13.5M,€43K,LWB
602,Otávio,23,Brazil,79,85,FC Porto,€17.5M,€15K,RM
603,J. Hofmann,25,Germany,79,80,Borussia Mönchengladbach,€15M,€32K,CAM
604,N. Aké,23,Netherlands,79,84,Bournemouth,€14.5M,€55K,CB
605,J. Hector,28,Germany,79,79,1. FC Köln,€10M,€26K,LWB
606,S. Kolašinac,25,Bosnia Herzegovina,79,82,Arsenal,€13M,€89K,LB
607,G. Pizarro,28,Argentina,79,79,Tigres U.A.N.L.,€10M,€58K,LDM
608,Roger,27,Spain,79,80,Levante UD,€14.5M,€32K,RS
609,Sergio Rico,24,Spain,79,83,Fulham,€11.5M,€13K,GK
610,L. Milivojevi?,27,Serbia,79,81,Crystal Palace,€12.5M,€56K,RCM
611,D. Baselli,26,Italy,79,82,Torino,€15.5M,€49K,CDM
612,K. Rekik,23,Netherlands,79,83,Hertha BSC,€14M,€26K,CB
613,Denis Suárez,24,Spain,79,86,FC Barcelona,€17.5M,€120K,CM
614,W. Orban,25,Hungary,79,81,RB Leipzig,€13M,€48K,RCB
615,Mário Rui,27,Portugal,79,80,Napoli,€11.5M,€60K,LB
616,Iñigo Martínez,27,Spain,79,80,Athletic Club de Bilbao,€12M,€26K,LCB
617,K. Zouma,23,France,79,83,Everton,€14M,€80K,CB
618,Roque Mesa,29,Spain,79,79,Sevilla FC,€10M,€20K,CDM
619,J. Brooks,25,United States,79,84,VfL Wolfsburg,€14M,€44K,LCB
620,L. Karius,25,Germany,79,83,Be?ikta? JK,€11.5M,€71K,GK
621,Zé Luís,27,Cape Verde,79,80,Spartak Moscow,€14.5M,€1K,ST
622,D. Klaassen,25,Netherlands,79,81,SV Werder Bremen,€15M,€32K,LCM
623,M. Elyounoussi,23,Norway,79,85,Southampton,€17.5M,€48K,LM
624,L. Bittencourt,24,Germany,79,82,TSG 1899 Hoffenheim,€16M,€35K,LM
625,Sergi Darder,24,Spain,79,83,RCD Espanyol,€16M,€29K,RCM
626,J. Roussillon,25,France,79,84,VfL Wolfsburg,€14M,€44K,LB
627,D. Demme,26,Germany,79,80,RB Leipzig,€12M,€50K,CDM
628,J. Gouweleeuw,26,Netherlands,79,80,FC Augsburg,€12M,€28K,RCB
629,M. Rojo,28,Argentina,79,79,Manchester United,€10M,€115K,CB
630,J. Veretout,25,France,79,84,Fiorentina,€16.5M,€59K,CDM
631,L. Kurzawa,25,France,79,82,Paris Saint-Germain,€13M,€68K,LB
632,G. Ramírez,27,Uruguay,79,79,Sampdoria,€13M,€41K,CAM
633,David López,28,Spain,79,79,RCD Espanyol,€10M,€32K,RCB
634,C. T?t?ru?anu,32,Romania,79,79,FC Nantes,€7M,€23K,GK
635,A. Mandi,26,Algeria,79,82,Real Betis,€13M,€26K,RCB
636,D. Sidibé,25,France,79,80,AS Monaco,€12M,€61K,RB
637,Y. Konoplyanka,28,Ukraine,79,79,FC Schalke 04,€12.5M,€41K,LW
638,S. Berghuis,26,Netherlands,79,80,Feyenoord,€15M,€20K,RW
639,H. Vanaken,25,Belgium,79,81,Club Brugge KV,€15.5M,€27K,CAM
640,Campaña,25,Spain,79,82,Levante UD,€15.5M,€28K,CDM
641,M. van Ginkel,25,Netherlands,79,80,Chelsea,€14.5M,€98K,CM
642,Nolito,31,Spain,79,79,Sevilla FC,€11M,€21K,LM
643,M. Gregoritsch,24,Austria,79,82,FC Augsburg,€16M,€27K,CAM
644,Ibai Gómez,28,Spain,79,79,Deportivo Alavés,€12.5M,€31K,RM
645,Danilo,26,Brazil,79,80,Manchester City,€12M,€110K,RB
646,R. Barkley,24,England,79,82,Chelsea,€16M,€89K,CAM
647,M. Ryan,26,Australia,79,81,Brighton & Hove Albion,€10.5M,€41K,GK
648,Sergio León,29,Spain,79,79,Real Betis,€12.5M,€32K,ST
649,B. Stambouli,27,France,79,79,FC Schalke 04,€10.5M,€33K,RCB
650,J. Guilavogui,27,France,79,80,VfL Wolfsburg,€12M,€46K,CDM
651,Sérgio Oliveira,26,Portugal,79,82,FC Porto,€15.5M,€17K,CM
652,D. Caligiuri,30,Italy,79,79,FC Schalke 04,€9M,€33K,RWB
653,C. Wilson,26,England,79,81,Bournemouth,€15.5M,€77K,ST
654,P. Jones,26,England,79,80,Manchester United,€12M,€110K,CB
655,Borja García,27,Spain,79,79,Girona FC,€13M,€35K,LM
656,Y. Belhanda,28,Morocco,79,79,Galatasaray SK,€12.5M,€65K,CAM
657,G. Pezzella,27,Argentina,79,81,Fiorentina,€12.5M,€56K,RCB
658,Jaume Costa,30,Spain,79,79,Villarreal CF,€9M,€34K,LB
659,C. Tosun,27,Turkey,79,80,Everton,€14.5M,€105K,ST
660,Escudero,28,Spain,79,79,Sevilla FC,€10M,€20K,LM
661,Kike García,28,Spain,79,79,SD Eibar,€13M,€32K,ST
662,Elkeson,28,Brazil,79,79,Shanghai SIPG FC,€13M,€25K,ST
663,Ricardo Goulart,27,Brazil,79,80,Guangzhou Evergrande Taobao FC,€14.5M,€25K,CF
664,J. Guðmundsson,27,Iceland,79,79,Burnley,€13M,€61K,RM
665,N. Clyne,27,England,79,80,Liverpool,€11.5M,€94K,RB
666,M. Hitz,30,Switzerland,79,79,Borussia Dortmund,€8M,€41K,GK
667,De Marcos,29,Spain,79,79,Athletic Club de Bilbao,€9.5M,€27K,RB
668,B. Mee,28,England,79,79,Burnley,€10M,€58K,LCB
669,Rafael,27,Brazil,79,79,Olympique Lyonnais,€10.5M,€60K,RB
670,Iborra,30,Spain,79,79,Leicester City,€9.5M,€66K,CDM
671,J. Wilshere,26,England,79,81,West Ham United,€15M,€83K,CM
672,B. Hübner,28,Germany,79,79,TSG 1899 Hoffenheim,€10M,€39K,CB
673,Souza,29,Brazil,79,79,Al Ahli,€10M,€44K,CDM
674,F. Coquelin,27,France,79,80,Valencia CF,€12M,€36K,LCM
675,Alex Teixeira,28,Brazil,79,79,Jiangsu Suning FC,€13M,€30K,LS
676,A. Dzagoev,28,Russia,79,79,PFC CSKA Moscow,€12.5M,€1K,RDM
677,I. Smolnikov,29,Russia,79,79,,€ 0,€ 0,RB
678,Y. M'Vila,28,France,79,80,AS Saint-Étienne,€11.5M,€36K,LDM
679,K. Asamoah,29,Ghana,79,79,Inter,€9.5M,€62K,LB
680,R. Zieler,29,Germany,79,80,VfB Stuttgart,€10M,€32K,GK
681,D. Drinkwater,28,England,79,79,Chelsea,€12.5M,€110K,CM
682,N. Kalini?,30,Croatia,79,79,Atlético Madrid,€12M,€60K,ST
683,Mariano,32,Brazil,79,79,Galatasaray SK,€7M,€57K,RB
684,S. Feghouli,28,Algeria,79,79,Galatasaray SK,€12.5M,€65K,RM
685,Adrien Silva,29,Portugal,79,79,Leicester City,€12M,€75K,CM
686,Fernando,30,Brazil,79,79,Galatasaray SK,€9.5M,€57K,CDM
687,I. Traoré,30,Guinea,79,79,Borussia Mönchengladbach,€12M,€34K,RM
688,G. Mercado,31,Argentina,79,79,Sevilla FC,€8.5M,€19K,RCB
689,N. Petersen,29,Germany,79,79,SC Freiburg,€12.5M,€35K,RS
690,O. Karnezis,32,Greece,79,79,Napoli,€7M,€48K,GK
691,M. Sakho,28,France,79,80,Crystal Palace,€11.5M,€58K,CB
692,Sidnei,28,Brazil,79,80,Real Betis,€11.5M,€27K,LCB
693,S. Joveti?,28,Montenegro,79,79,AS Monaco,€13M,€79K,ST
694,Eder,31,Italy,79,79,Jiangsu Suning FC,€11.5M,€29K,RS
695,J. Hernández,30,Mexico,79,79,West Ham United,€12M,€90K,ST
696,Fabricio,30,Spain,79,79,Fulham,€8M,€47K,GK
697,Kiko Casilla,31,Spain,79,79,Real Madrid,€7.5M,€105K,GK
698,Ángel,31,Spain,79,79,Getafe CF,€11.5M,€31K,ST
699,M. Schneiderlin,28,France,79,79,Everton,€10M,€92K,CDM
700,M. Fellaini,30,Belgium,79,79,Manchester United,€11.5M,€120K,CM
